Compound_name,Fragment,Insp_frag_found,dockedSMILES,fragSMILES,SuCOS_score,Avg_SuCOS_score
WAR-XCH-b72-40,x0946,0,NS(=O)(=O)c1ccc(N2CCC(CSc3ccc(Cl)s3)CC2)cc1,NS(O)(O)C1CCC(Br)CC1,0.497146041221268,0.14687995138129667
MED-COV-428-20,x0072,1,NC(=O)C1CC(c2ccnc(Cl)c2NC(=O)CCl)CC1c1ccccc1,CS(O)(O)NCCC1CCCCC1,0.5753423297251301,0.17723198741211615
LIZ-THE-6ef-2,x0161,1,CC[Si](C)(C)Oc1ccc(S(N)(=O)=O)cc1,COC(O)C1CCC(S(N)(O)O)CC1,0.5596602155790313,0.061822123320690495
DUN-NEW-f8c-19,x0991,0,Cn1ccc2cccc(N(CCNS(C)(=O)=O)C(=O)Cc3cccnc3)c21,CCC(N)N,0.4315917688861675,0.155924102083457
ÁLV-UNI-7ff-35,x0678,1,Cc1ccc2c(-c3cnc(N)nc3)c(-c3ccc(F)cc3)nn2n1,OC(CC1CCCCC1)NC1CCCNC1,0.3958099810955889,0.08463243342378726
HUB-UNK-984-14,x0678,1,O=C(Nc1cccnc1)Nc1cccc(F)c1-c1cccc(=O)[nH]1,OC(CC1CCCCC1)NC1CCCNC1,0.41241439657667756,0.09154735155312084
SIM-DE -284-4,x0107,1,CN1CC[NH+](CCC(=O)Nc2ccncc2CNC(=O)NC2CC2)CC1,CC(O)NC1CNCCC1C,0.38979508385592826,0.10718744481670262
RUT-UNI-630-4,x0107,0,Cc1ccncc1CC(=O)N(Cc1ccsc1)c1ccc(NC(=O)c2ccccc2)cc1,CC(O)NC1CNCCC1C,0.4824903254657733,0.15799300814190537
ELE-IMP-dfb-4,x0946,0,CS(=O)(=O)NCCc1cccc2c3c([nH]c12)CN(S(C)(=O)=O)CC3,NS(O)(O)C1CCC(Br)CC1,0.4805780849450221,0.10065043022281174
PHI-UNK-c3a-3,x0946,0,CSCc1cc(C(N)=O)c(CS)cc1C(N)=O,NS(O)(O)C1CCC(Br)CC1,0.5342814305819177,0.07581029227599397
RUT-UNI-630-26,x0107,0,CN(CCO)c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,CC(O)NC1CNCCC1C,0.41722200467479936,0.14121815359824133
MED-COV-428-36,x0072,1,N#CC=CCC(c1cccc(Cl)c1)c1cccc(C#N)c1,CS(O)(O)NCCC1CCCCC1,0.530175045127379,0.16163585808014042
MAK-UNK-9e4-28,x0434,0,Cc1ccc(-n2c(=O)c3cc(F)c(Cl)cc3n(-c3ccccc3)c2=O)cn1,OC(NC1CCCCC1)NC1CCCNC1,0.42986759058585133,0.16304284318866097
MED-COV-428-27,x0072,1,NC(=O)C1CC2(CCCN(C(=O)CCl)C2)CC1c1ccccc1,CS(O)(O)NCCC1CCCCC1,0.6114918771537853,0.16400985498152942
MAR-KIN-563-1,x0195,1,CS(O)(O)CC[NH+](Cc1cccc2ccc(C[NH3+])cc12)C(O)Cc1c[nH+]ccc1N,CN1CCCC2CCC(S(N)(O)O)CC21,0.5048405758811297,0.14603646712300733
